platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,darumaisgod,だるまいずごっど,132004305,4219061,87552,50328,5030,36314,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/18db511f-1a5d-4a94-a7c9-27d321ad2db7-profile_image-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,rebeudeter,RebeuDeter,407837457,3608663,1213398,687365,315,259644,11611314,Sports,https://static-cdn.jtvnw.net/jtv_user_pictures/b0942318-9297-444b-94dc-cf3f34cd2f7b-profile_image-300x300.png,FR,fr,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,fps_shaka,fps_shaka,49207184,3570273,102728,41556,5155,9828,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,zackrawrr,zackrawrr,552120296,2906267,220194,56433,3090,53999,1564008,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,rader,らっだぁ,119506529,2366135,65605,28798,4930,11486,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/2d5b1a2d-c5ed-45cb-9f92-e25bad456e1d-profile_image-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,evelone2004,evelone2004,738000896,2165656,105613,41383,3140,72797,8104013,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-300x300.png,RU,ru,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,gaules,Gaules,181077473,2157063,80407,13054,9915,6755,4405303,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-300x300.png,BR,pt,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,buster,buster,86277097,2062232,371721,179325,690,89711,7486765,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-300x300.png,RU,ru,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,kato_junichi0817,うん〇ちゃん,545050196,2004143,39040,22884,5255,686,5347576,Dead by Daylight,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,pgl,PGL,21681549,1975570,96905,33771,3510,20054,8117923,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/ee30e9be-290d-4994-8760-a3ed0ad37342-profile_image-300x300.png,RO,en,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,necros,Necros,129625799,1695444,37462,21854,4655,52794,,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/d129a627-ea3f-4188-af1e-c30e2a1725c9-profile_image-300x300.png,RS,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,eliasn97,eliasn97,238813810,1669310,80770,34479,2905,-1723,,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,loltyler1,loltyler1,51496027,1608519,72785,22709,4250,9915,,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,stableronaldo,stableronaldo,246450563,1556871,100168,22321,4185,25716,4413653,The Streamer Awards,https://static-cdn.jtvnw.net/jtv_user_pictures/9aea787b-a758-4ffa-b4b0-b8c3e75f6231-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,kanae_2434,叶ちゃんねる,217871888,1540765,43317,22912,4035,12654,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/f9ceed8c-4ae9-4e46-a249-4abf8e4f38c5-profile_image-300x300.png,JP,ja,affilate,Male,2024-12-02,2024-12-08,2024,49
twitch,mizkif,Mizkif,94753024,1512781,47903,22893,3965,3362,3431053,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,quin69,Quin69,56649026,1424521,65157,17078,5005,13669,411747,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png,NZ,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,zizaran,Zizaran,36483360,1353829,78586,17602,4615,34888,195948,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/zizaran-profile_image-d534b9791c469a48-300x300.png,NO,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,qtcinderella,QTCinderella,247808909,1315756,215509,40590,1945,36731,5741866,The Streamer Awards,https://static-cdn.jtvnw.net/jtv_user_pictures/051f2eb6-fac4-4921-bf65-b87f2177939c-profile_image-300x300.png,US,en,partner,Female,2024-12-02,2024-12-08,2024,49
twitch,sodapoppin,sodapoppin,26301881,1293161,66685,26214,2960,4722,768605,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,caseoh_,caseoh_,267160288,1256667,68045,50435,1495,34231,,Games + Demos,https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,plaqueboymax,plaqueboymax,672238954,1207443,48774,19528,3710,29901,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/265cfea1-8c9e-4ea2-9329-8f72601bbdf1-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,worldoftanks,WorldofTanks,182560660,1152051,38667,17047,4055,10223,,World of Tanks,https://static-cdn.jtvnw.net/jtv_user_pictures/70e2effe-95e3-47b3-bede-236336c510b1-profile_image-300x300.jpg,,en,partner,Organization,2024-12-02,2024-12-08,2024,49
